Starting at 2016-03-28 02:18:24.858632...

	
Parameters:	
Table:claim_events_simple	
Limit Infrequent Events: 1	
Limit Infrequent Pairs: 1	
Prune KL-Divergence: 0.5	
Window: 24	
Laplace Pseudocounts: 1	
P-value Threshold: 0.05	

N_a: 33, N_ab: 6, Critical interval: ((1, 3)), P(success): 0.0721, p_value: 0.0288

Found:1 Checked:188 Candidates:10235  (AssociatedToClaim TLWCompleteReprble)
Found:1 Checked:189 Candidates:10234  (AssociatedToClaim TLWCompleteTtlLoss)
Found:1 Checked:190 Candidates:10233  (AssociatedToClaim UnsuspendedItem)
Found:1 Checked:191 Candidates:10232  (AssociatedToClaim updtPymtVoid)
Found:1 Checked:192 Candidates:10231  (AssociatedToClaim Vehicle)
Found:1 Checked:193 Candidates:10230  (AssociatedToClaim VehicleEdited)
Found:1 Checked:194 Candidates:10229  (AssociatedToClaim VehSlvgLogCompltd)
Found:1 Checked:195 Candidates:10228  (AssociatedToClaim XPayAuthApprv)
Found:1 Checked:196 Candidates:10227  (AssociatedToClaim XPayAuthLimit)
Found:1 Checked:197 Candidates:10226  (AssociatedToParty applyCreditSubmit)
Found:1 Checked:198 Candidates:10225  (AssociatedToParty AssociatedToClaim)
Found:1 Checked:199 Candidates:10224  (AssociatedToParty AssociatedToParty)
Found:1 Checked:200 Candidates:10223  (AssociatedToParty AssReRouteOffice)
Found:1 Checked:201 Candidates:10222  (AssociatedToParty AssReRouteQueue)
Found:1 Checked:202 Candidates:10221  (AssociatedToParty AssRouteToOffice)
Found:1 Checked:203 Candidates:10220  (AssociatedToParty AssToFileHandler)
Found:1 Checked:204 Candidates:10219  (AssociatedToParty AudatexReceipt)
Found:1 Checked:205 Candidates:10218  (AssociatedToParty ChangedDocType)
Found:1 Checked:206 Candidates:10217  (AssociatedToParty ChangedfromParty)
Found:1 Checked:207 Candidates:10216  (AssociatedToParty ChangedtoParty)
Found:1 Checked:208 Candidates:10215  (AssociatedToParty ClaimActivityLog)
Found:1 Checked:209 Candidates:10214  (AssociatedToParty ClaimClosed)
Found:1 Checked:210 Candidates:10213  (AssociatedToParty ClaimEdited)
Found:1 Checked:211 Candidates:10212  (AssociatedToParty ClaimReopened)
Found:1 Checked:212 Candidates:10211  (AssociatedToParty ClaimReported)
Found:1 Checked:213 Candidates:10210  (AssociatedToParty ClaimSecured)
