Starting at 2016-03-01 17:27:23.231555...

	
Parameters:	
Limit Infrequent Events: False	
Limit Infrequent Pairs: False	
Prune KL-Divergence: False	
Window: 24	
Laplace Pseudocounts: 1	
P-value Threshold: 0.05	

Found:0 Checked:117 Candidates:2484  (AssReRouteQueue COPSCarAsgSentPDR)
Found:0 Checked:118 Candidates:2483  (AssReRouteQueue Correspondencsent)
Found:0 Checked:119 Candidates:2482  (AssReRouteQueue DocAddInProgress)
Found:0 Checked:120 Candidates:2481  (AssReRouteQueue DocumentAdded)
Found:0 Checked:121 Candidates:2480  (AssReRouteQueue FYISent)
Found:0 Checked:122 Candidates:2479  (AssReRouteQueue grpPymtSubmit)
Found:0 Checked:123 Candidates:2478  (AssReRouteQueue Inbound)
Found:0 Checked:124 Candidates:2477  (AssReRouteQueue InitialContact)
Found:0 Checked:125 Candidates:2476  (AssReRouteQueue IsoMatchRpt)
Found:0 Checked:126 Candidates:2475  (AssReRouteQueue IsoNoMatchRpt)
Found:0 Checked:127 Candidates:2474  (AssReRouteQueue LiabilityAnalysis)
Found:0 Checked:128 Candidates:2473  (AssReRouteQueue makePaymentSubmit)
Found:0 Checked:129 Candidates:2472  (AssReRouteQueue MultDocAddBegin)
Found:0 Checked:130 Candidates:2471  (AssReRouteQueue MultipleDocAdded)
Found:0 Checked:131 Candidates:2470  (AssReRouteQueue Outbound)
Found:0 Checked:132 Candidates:2469  (AssReRouteQueue PartyAdded)
Found:0 Checked:133 Candidates:2468  (AssReRouteQueue PartyEdited)
Found:0 Checked:134 Candidates:2467  (AssReRouteQueue PerilActivity)
Found:0 Checked:135 Candidates:2466  (AssReRouteQueue ReasonforEscalation)
Found:0 Checked:136 Candidates:2465  (AssReRouteQueue ReceiptItem)
Found:0 Checked:137 Candidates:2464  (AssReRouteQueue recordManualPymt)
Found:0 Checked:138 Candidates:2463  (AssReRouteQueue RefCompPDVE)
Found:0 Checked:139 Candidates:2462  (AssReRouteQueue Referral)
Found:0 Checked:140 Candidates:2461  (AssReRouteQueue RefRemFromInbox)
Found:0 Checked:141 Candidates:2460  (AssReRouteQueue RefRespPD)
Found:0 Checked:142 Candidates:2459  (AssReRouteQueue RefRespPDVE)
Found:0 Checked:143 Candidates:2458  (AssReRouteQueue RefSentPD)
Found:0 Checked:144 Candidates:2457  (AssReRouteQueue RefSentPDVE)
Found:0 Checked:145 Candidates:2456  (AssReRouteQueue Rental)
Found:0 Checked:146 Candidates:2455  (AssReRouteQueue ReviewRemFromInbox)
Found:0 Checked:147 Candidates:2454  (AssReRouteQueue RouteToInbox)
Found:0 Checked:148 Candidates:2453  (AssReRouteQueue Subrogation)
Found:0 Checked:149 Candidates:2452  (AssReRouteQueue SuspendedItem)
Found:0 Checked:150 Candidates:2451  (AssReRouteQueue Suspense)
Found:0 Checked:151 Candidates:2450  (AssReRouteQueue UnsuspendedItem)
Found:0 Checked:152 Candidates:2449  (AssReRouteQueue Vehicle)
Found:0 Checked:153 Candidates:2448  (AssReRouteQueue VehicleEdited)
Found:0 Checked:154 Candidates:2447  (AssRouteToOffice AssociatedToClaim)
Found:0 Checked:155 Candidates:2446  (AssRouteToOffice AssociatedToParty)
Found:0 Checked:156 Candidates:2445  (AssRouteToOffice AssReRouteQueue)
Found:0 Checked:157 Candidates:2444  (AssRouteToOffice AssRouteToOffice)
Found:0 Checked:158 Candidates:2443  (AssRouteToOffice AssToFileHandler)
Found:0 Checked:159 Candidates:2442  (AssRouteToOffice AudatexReceipt)
Found:0 Checked:160 Candidates:2441  (AssRouteToOffice ClaimActivityLog)
Found:0 Checked:161 Candidates:2440  (AssRouteToOffice ClaimClosed)
Found:0 Checked:162 Candidates:2439  (AssRouteToOffice ClaimEdited)
Found:0 Checked:163 Candidates:2438  (AssRouteToOffice ClaimReopened)
Found:0 Checked:164 Candidates:2437  (AssRouteToOffice ClaimReported)
Found:0 Checked:165 Candidates:2436  (AssRouteToOffice ClaimSetup)
Found:0 Checked:166 Candidates:2435  (AssRouteToOffice Contact)
