Starting at 2016-03-01 22:10:02.223216...

	
Parameters:	
Table:claim_events_100op	
Limit Infrequent Events: 10	
Limit Infrequent Pairs: 10	
Prune KL-Divergence: False	
Window: 12	
Laplace Pseudocounts: 1	
P-value Threshold: 0.001	

Found:0 Checked:125 Candidates:2144  (AssReRouteQueue RouteToInbox)
Found:0 Checked:126 Candidates:2143  (AssReRouteQueue SuspendedItem)
Found:0 Checked:127 Candidates:2142  (AssReRouteQueue Suspense)
Found:0 Checked:128 Candidates:2141  (AssReRouteQueue UnsuspendedItem)
Found:0 Checked:129 Candidates:2140  (AssReRouteQueue Vehicle)
Found:0 Checked:130 Candidates:2139  (AssReRouteQueue VehicleEdited)
Found:0 Checked:131 Candidates:2138  (AssRouteToOffice AssociatedToClaim)
Found:0 Checked:132 Candidates:2137  (AssRouteToOffice AssociatedToParty)
Found:0 Checked:133 Candidates:2136  (AssRouteToOffice AssReRouteQueue)
Found:0 Checked:134 Candidates:2135  (AssRouteToOffice AssToFileHandler)
Found:0 Checked:135 Candidates:2134  (AssRouteToOffice AudatexReceipt)
Found:0 Checked:136 Candidates:2133  (AssRouteToOffice ClaimActivityLog)
Found:0 Checked:137 Candidates:2132  (AssRouteToOffice ClaimClosed)
Found:0 Checked:138 Candidates:2131  (AssRouteToOffice ClaimEdited)
Found:0 Checked:139 Candidates:2130  (AssRouteToOffice ClaimReopened)
Found:0 Checked:140 Candidates:2129  (AssRouteToOffice ClaimReported)
Found:0 Checked:141 Candidates:2128  (AssRouteToOffice ClaimSetup)
Found:0 Checked:142 Candidates:2127  (AssRouteToOffice Contact)
Found:0 Checked:143 Candidates:2126  (AssRouteToOffice COPSCarAsgSentCRP)
Found:0 Checked:144 Candidates:2125  (AssRouteToOffice COPSCarAsgSentPDR)
Found:0 Checked:145 Candidates:2124  (AssRouteToOffice Correspondencsent)
Found:0 Checked:146 Candidates:2123  (AssRouteToOffice Coverage)
Found:0 Checked:147 Candidates:2122  (AssRouteToOffice DocAddInProgress)
Found:0 Checked:148 Candidates:2121  (AssRouteToOffice DocumentAdded)
Found:0 Checked:149 Candidates:2120  (AssRouteToOffice DocumentFiled)
Found:0 Checked:150 Candidates:2119  (AssRouteToOffice FYISent)
Found:0 Checked:151 Candidates:2118  (AssRouteToOffice grpPymtSubmit)
Found:0 Checked:152 Candidates:2117  (AssRouteToOffice Inbound)
Found:0 Checked:153 Candidates:2116  (AssRouteToOffice InitialContact)
Found:0 Checked:154 Candidates:2115  (AssRouteToOffice IsoMatchRpt)
Found:0 Checked:155 Candidates:2114  (AssRouteToOffice LiabilityAnalysis)
Found:0 Checked:156 Candidates:2113  (AssRouteToOffice makePaymentSubmit)
Found:0 Checked:157 Candidates:2112  (AssRouteToOffice Outbound)
Found:0 Checked:158 Candidates:2111  (AssRouteToOffice PartyEdited)
Found:0 Checked:159 Candidates:2110  (AssRouteToOffice PerilActivity)
Found:0 Checked:160 Candidates:2109  (AssRouteToOffice PropertyDamages)
Found:0 Checked:161 Candidates:2108  (AssRouteToOffice PropEstSent)
Found:0 Checked:162 Candidates:2107  (AssRouteToOffice ReceiptItem)
Found:0 Checked:163 Candidates:2106  (AssRouteToOffice ReceiptXactware)
